ID;Beweging;TrajectName;Timestamp;ShipID;CEMTKlasse;Width;Length;DimensionA;DimensionB;DimensionC;DimensionD
2710709;IN;Traject3;2018-05-25 05:09:09.593;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2710803;IN;Traject2;2018-05-25 05:19:06.077;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2710803;UIT;Traject3;2018-05-25 05:19:06.077;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2711299;IN;Traject1;2018-05-25 05:45:16.640;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2711299;UIT;Traject2;2018-05-25 05:45:16.640;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2711548;UIT;Traject1;2018-05-25 06:03:59.470;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2713828;IN;Traject1;2018-05-30 16:28:03.313;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2713903;UIT;Traject1;2018-05-30 16:40:05.283;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2713903;IN;Traject2;2018-05-30 16:40:05.283;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2714437;UIT;Traject2;2018-05-30 17:00:22.753;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2714437;IN;Traject3;2018-05-30 17:00:22.753;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2714526;UIT;Traject3;2018-05-30 17:07:38.850;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2714526;IN;Traject4;2018-05-30 17:07:38.850;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2714643;IN;Traject5;2018-05-30 17:13:18.380;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2714643;UIT;Traject4;2018-05-30 17:13:18.380;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2715676;UIT;Traject5;2018-05-30 18:06:42.480;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2715676;IN;Traject6;2018-05-30 18:06:42.480;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2716467;UIT;Traject6;2018-05-30 18:36:54.703;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
4384041;IN;Traject6;2018-05-03 18:20:15.017;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384208;IN;Traject5;2018-05-03 18:50:04.223;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384208;UIT;Traject6;2018-05-03 18:50:04.223;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384335;UIT;Traject5;2018-05-03 19:11:33.430;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384335;IN;Traject4;2018-05-03 19:11:33.430;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384368;IN;Traject3;2018-05-03 19:17:03.023;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4384368;UIT;Traject4;2018-05-03 19:17:03.023;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
